AccountID,Type,BillingState,BillingCountry,AccountSource,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c
0012o00002sPG1H,Standard,South Carolina,United States,HG Insights,Business,0.0,5001-10.000,Manufacturing,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,3.0,50.0,0.0,0.0,false,false
0012o00002sPG1I,Standard,North Carolina,United States,HG Insights,Business,0.0,1001-5000,Retail,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPSuP,Standard,ZUID-HOLLAND,Netherlands,HG Insights,Business,0.0,1001-5000,Retail,false,EMEA W,Benelux - Telco & Retail,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPKIG,Standard,Texas,United States,HG Insights,Business,0.0,1001-5000,"Public Sector, Government, Education",false,NA - Corporate & LATAM,NA - South - Corporate,0.0,17.0,0.0,50.0,0.0,false,false
0012o00002sPKIM,Standard,Georgia,United States,HG Insights,Business,0.0,1001-5000,"Telecommunications, Media & Entertainment",false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002h4IBq,Standard,cojedes,venezuela,Marketing,Business,0.0,Less than 20,Software & Technology,false,NA - Corporate & LATAM,RoW - LATAM,0.0,34.0,100.0,0.0,0.0,false,false
0012o00002sPOuv,Standard,Bayern,Germany,HG Insights,Business,0.0,10.000+,Retail,false,DACH,DACH - Retail,0.0,0.0,50.0,100.0,0.0,false,false
0012o00002h4JJo,Standard,,United Arab Emirates,SDR,Business,0.0,1001-5000,Banking & Financial Services,false,EMEA W,Middle East,0.0,1.0,100.0,50.0,0.0,false,false
0012o00002sPG1W,Standard,Wisconsin,United States,HG Insights,Business,0.0,5001-10.000,Consulting & Business Services,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,23.0,50.0,0.0,1.0,false,false
0012o00002sPG0t,Standard,Ohio,United States,HG Insights,Business,0.0,1001-5000,Insurance,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002sPG0y,Standard,New York,United States,HG Insights,Business,0.0,10.000+,Healthcare,false,NA - Enterprise,NA - Northeast Enterprise,0.0,0.0,25.0,100.0,0.0,false,false
0012o00002sPOuY,Standard,Niedersachsen,Germany,HG Insights,Business,0.0,5001-10.000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,0.0,50.0,0.0,0.0,false,false
0012o00002h4Dhc,Standard,malopolskie,poland,Marketing,Business,0.0,Less than 20,,false,EMEA W,RoW - E Europe,0.0,86.0,0.0,0.0,0.0,false,false
0012o00002h4DXK,Standard,new south wales,australia,Marketing,Business,0.0,Less than 20,Consulting & Business Services,false,APAC,RoW - APAC (Prio),0.0,4.0,50.0,0.0,0.0,false,false
0012o00002sPOud,Standard,Salzburg,Austria,HG Insights,Business,0.0,1001-5000,Retail,false,DACH,DACH - Retail,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPSuM,Standard,AKERSHUS,Norway,HG Insights,Business,0.0,1001-5000,Retail,false,EMEA N,RoW - Nordics,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPKIF,Standard,South Carolina,United States,HG Insights,Business,0.0,1001-5000,"Public Sector, Government, Education",false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,0.0,50.0,0.0,false,false
0012o00002sPOtw,Standard,Schleswig-Holstein,Germany,HG Insights,Business,0.0,1001-5000,Retail,false,DACH,DACH - Retail,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002h4G3P,Standard,Georgia,United States,Zoominfo,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002sPKIL,Standard,Illinois,United States,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002sPOun,Standard,VAUD,Switzerland,HG Insights,Business,0.0,5001-10.000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,2.0,50.0,0.0,0.0,false,false
0012o00002sPSuZ,Standard,PARIS,France,HG Insights,Business,0.0,1001-5000,Retail,false,EMEA W,France - Retail,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPKIS,Standard,New York,United States,HG Insights,Business,0.0,1001-5000,"Life Sciences, Pharma, & Biotech",false,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002h4I9u,Standard,sankt-peterburg,Russia,Marketing,Business,0.0,1001-5000,Other,false,EMEA W,RoW - E Europe,0.0,1.0,0.0,50.0,0.0,false,false
0012o00002sPSuW,Standard,BRUXELLES-CAPITALE,Belgium,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,EMEA W,Benelux - Manufacturing,0.0,0.0,75.0,50.0,0.0,false,false
