AccountID,Type,BillingState,BillingCountry,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c,AccountSource,label
0012o00002kqHc4,Standard,,South Africa,Business,0.0,101-1000,Insurance,False,EMEA W,Africa,0.0,0.0,100.0,0.0,3.0,False,False,,False
0012o00002kqHGS,Standard,,united kingdom,Business,0.0,Less than 20,,False,EMEA N,UKI - Software & Technology,0.0,1.0,0.0,0.0,3.0,False,False,Marketing,False
0012o00002i7NlY,Standard,Queensland,Australia,Business,0.0,21-100,Banking & Financial Services,False,APAC,RoW - APAC (Prio),0.0,203.0,100.0,0.0,6.0,False,False,Marketing,False
0012o00002i7NlX,Standard,Masovian Voivodeship,Poland,Business,0.0,21-100,Software & Technology,False,EMEA W,RoW - E Europe,0.0,42.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Nlj,Standard,Florida,United States,Business,0.0,21-100,Software & Technology,False,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,5.0,100.0,0.0,3.0,False,False,,False
0012o00002i7NlZ,Standard,,Australia,Business,0.0,21-100,"Telecommunications, Media & Entertainment",False,APAC,RoW - APAC (Prio),0.0,1.0,100.0,0.0,3.0,False,False,,False
0012o00002kqHM1,Standard,New Jersey,United States,Business,0.0,101-1000,Software & Technology,False,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,49.0,100.0,0.0,16.0,False,False,Zoominfo,False
0012o00002sPQGr,Standard,Bremen,Germany,Business,0.0,1001-5000,Manufacturing,False,DACH,DACH - Manufacturing,0.0,13.0,50.0,50.0,3.0,False,False,HG Insights,False
0012o00002kqNFS,Standard,Kansas,United States,Business,0.0,10.000+,Consulting & Business Services,False,NA - Enterprise,NA - Central Enterprise,0.0,45.0,50.0,100.0,3.0,False,False,Marketing,False
0012o00002i7Nm2,Standard,Valparaiso Region,Chile,Business,0.0,21-100,Other,False,NA - Corporate & LATAM,RoW - LATAM,0.0,20.0,0.0,0.0,3.0,False,False,,False
0012o00002kqMxn,Standard,Nordrhein-Westfalen,Germany,Business,73828.8,1001-5000,"Public Sector, Government, Education",False,DACH,DACH - Public Sector,0.0,21.0,0.0,50.0,15.0,False,False,Marketing,True
0012o00002kqSDk,Standard,bahia,Brazil,Business,0.0,101-1000,"Public Sector, Government, Education",False,NA - Corporate & LATAM,RoW - LATAM,0.0,57.0,0.0,0.0,4.0,False,False,Marketing,False
0012o00002i7Nm7,Standard,,Thailand,Business,0.0,21-100,Software & Technology,False,APAC,RoW - APAC (Prio),0.0,7.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Nm8,Standard,Berlin,Germany,Business,0.0,21-100,Banking & Financial Services,False,DACH,DACH - Banking,0.0,430.0,100.0,0.0,6.0,False,False,Marketing,False
